ID,Case,Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
28581,4715562,HL519961,07/31/2005 06:59:11 PM,020XX W 80TH ST,460,BATTERY,SIMPLE,STREET,True,False,611,6,18,71,08B,1164081,1851598,2005,04/15/2016 08:55:02 AM,41.74840374,-87.674325716,"(41.74840374, -87.674325716)"
28592,4715577,HL520179,07/31/2005 07:09:56 PM,079XX S LOOMIS BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,612,6,21,71,08B,1168379,1852000,2005,04/15/2016 08:55:02 AM,41.749415471,-87.658564779,"(41.749415471, -87.658564779)"
28599,4715585,HL520184,07/31/2005 09:01:00 PM,077XX S GREEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,621,6,17,71,14,1171976,1853629,2005,04/15/2016 08:55:02 AM,41.753807493,-87.645336203,"(41.753807493, -87.645336203)"
21550,4705129,HM310241,08/01/2005 01:00:00 AM,045XX S WOODLAWN AVE,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,APARTMENT,False,False,2123,2,4,39,6,1185011,1875144,2005,04/15/2016 08:55:02 AM,41.81255052,-87.596892617,"(41.81255052, -87.596892617)"
47429,4742388,HM351753,08/01/2005 08:00:00 AM,029XX N CLYBOURN AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1913,19,1,5,6,1161394,1919680,2005,04/15/2016 08:55:02 AM,41.935284094,-87.682280744,"(41.935284094, -87.682280744)"
41317,4851336,HM459888,08/01/2005 09:00:00 AM,089XX S LAFLIN ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2221,22,21,73,6,,,2005,08/17/2015 03:03:40 PM,,,
28609,4715595,HL522501,08/01/2005 10:15:00 PM,075XX S MORGAN ST,890,THEFT,FROM BUILDING,RESIDENCE,False,False,621,6,17,71,6,1170952,1854775,2005,04/15/2016 08:55:02 AM,41.756974675,-87.649055399,"(41.756974675, -87.649055399)"
58797,4759764,HM314368,08/01/2005 11:00:00 AM,022XX S CALIFORNIA AVE,917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,False,False,1034,10,28,30,7,1158050,1888829,2005,04/15/2016 08:55:02 AM,41.850695232,-87.695413067,"(41.850695232, -87.695413067)"
842,4786156,HM399207,08/01/2005 12:00:00 AM,069XX S STEWART AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,732,7,6,68,6,,,2005,08/17/2015 03:03:40 PM,,,
8353,4798622,HM403765,08/01/2005 12:00:00 AM,015XX W BIRCHWOOD AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,False,False,2422,24,49,1,11,,,2005,08/17/2015 03:03:40 PM,,,
41417,4733509,HM341683,08/01/2005 12:00:00 AM,060XX S MAY ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,712,7,16,68,6,1169685,1864754,2005,04/15/2016 08:55:02 AM,41.784385856,-87.653409624,"(41.784385856, -87.653409624)"
46818,4741412,HM351629,08/01/2005 12:00:00 AM,007XX W BITTERSWEET PL,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2323,19,46,3,6,1170650,1927186,2005,04/15/2016 08:55:02 AM,41.955682921,-87.648044165,"(41.955682921, -87.648044165)"
30686,4835305,HM447025,08/01/2005 12:00:00 PM,046XX W DIVERSEY AVE,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESTAURANT,False,False,2521,25,31,19,6,,,2005,08/17/2015 03:03:40 PM,,,
39041,4848175,HM452578,08/01/2005 12:00:00 PM,018XX W 18TH ST,841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,1223,12,25,31,6,,,2005,08/17/2015 03:03:40 PM,,,
8257,4685187,HM288210,08/01/2005 12:01:00 AM,0000X E 59TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,233,2,20,40,6,1177953,1865921,2005,04/15/2016 08:55:02 AM,41.78740481,-87.623060683,"(41.78740481, -87.623060683)"
13240,4692467,HM295475,08/01/2005 12:01:00 AM,016XX S HALSTED ST,810,THEFT,OVER $500,OTHER,False,False,1233,12,25,31,6,1171296,1892206,2005,04/15/2016 08:55:02 AM,41.859681682,-87.646698723,"(41.859681682, -87.646698723)"
30977,4835687,HM445911,08/01/2005 12:01:00 AM,002XX W 60TH ST,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,711,7,20,68,2,,,2005,08/17/2015 03:03:40 PM,,,
